Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A744825,,03/08/2017 11:37:00 AM,03/08/2017 11:37:00 AM,6203 Glen Meadow Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Medium Hair Mix,Orange Tabby/White,,03/11/2017 12:30:00 PM,03/11/2017 12:30:00 PM,03/08/2014,Cat,Intact Male,3 years,Domestic Medium Hair Mix,Orange Tabby/White,0.0
A666814,*Max,11/07/2013 03:20:00 PM,11/07/2013 03:20:00 PM,Austin (TX),Public Assist,Normal,Cat,Intact Male,1 month,Siamese/Domestic Shorthair,Black,*Max,11/15/2013 11:58:00 AM,11/15/2013 11:58:00 AM,09/07/2013,Cat,Neutered Male,2 months,Siamese/Domestic Shorthair,Black,0.0
A675571,*Marzipan,03/29/2014 01:08:00 PM,03/29/2014 01:08:00 PM,12032 Lincolnshire Dr in Austin (TX),Stray,Normal,Other,Intact Female,1 year,English Spot Mix,White/Black,*Marzipan,04/29/2014 06:50:00 PM,04/29/2014 06:50:00 PM,03/29/2013,Other,Intact Female,1 year,English Spot Mix,White/Black,0.0
A460420,Billie,06/11/2019 12:41:00 PM,06/11/2019 12:41:00 PM,803 East Riverside Drive in Austin (TX),Stray,Injured,Cat,Spayed Female,13 years,Manx Mix,Gray/White,Billie,06/11/2019 07:31:00 PM,06/11/2019 07:31:00 PM,06/04/2006,Cat,Spayed Female,13 years,Manx Mix,Gray/White,1.0
A787990,Dwarfy,01/24/2019 02:25:00 PM,01/24/2019 02:25:00 PM,Creedmoor (TX),Public Assist,Normal,Cat,Intact Male,2 years,Abyssinian Mix,Brown Tabby/White,Dwarfy,02/05/2019 06:39:00 PM,02/05/2019 06:39:00 PM,01/24/2017,Cat,Neutered Male,2 years,Abyssinian Mix,Brown Tabby/White,0.0
A719876,Oreo,01/29/2016 02:20:00 PM,01/29/2016 02:20:00 PM,4000 E 12Th Street in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Rat Terrier Mix,White/Black,Oreo,02/02/2016 03:58:00 PM,02/02/2016 03:58:00 PM,01/29/2015,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black,0.0
A668440,,12/03/2013 10:19:00 PM,12/03/2013 10:19:00 PM,3519 River Rd. in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Labrador Retriever Mix,Tan,,12/05/2013 03:46:00 PM,12/05/2013 03:46:00 PM,05/04/2013,Dog,Intact Male,7 months,Labrador Retriever Mix,Tan,1.0
A750834,Osito,06/01/2017 09:58:00 AM,06/01/2017 09:58:00 AM,1626 Rutland Drive in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,German Shepherd Mix,Brown/Black,Osito,06/08/2017 04:11:00 PM,06/08/2017 04:11:00 PM,06/01/2015,Dog,Neutered Male,2 years,German Shepherd Mix,Brown/Black,0.0
A798233,*Plum,06/23/2019 01:26:00 PM,06/23/2019 01:26:00 PM,910 Armadillo Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Border Collie Mix,White/Black,*Plum,06/27/2019 06:49:00 PM,06/27/2019 06:49:00 PM,06/23/2018,Dog,Intact Female,1 year,Border Collie Mix,White/Black,0.0
A736038,Tank,10/03/2016 11:33:00 AM,10/03/2016 11:33:00 AM,1101 Grove Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,9 months,Manchester Terrier Mix,Black/Tan,Tank,10/03/2016 05:33:00 PM,10/03/2016 05:33:00 PM,12/09/2015,Dog,Neutered Male,9 months,Manchester Terrier Mix,Black/Tan,0.0
A686921,,08/29/2014 07:10:00 AM,08/29/2014 07:10:00 AM,12034 Research in Travis (TX),Stray,Feral,Cat,Intact Male,4 years,Domestic Shorthair Mix,Blue Tabby,,09/15/2014 01:24:00 PM,09/15/2014 01:24:00 PM,08/29/2010,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue Tabby,0.0
A780447,*Lucy,09/15/2018 10:50:00 AM,09/15/2018 10:50:00 AM,745 Montopolis in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico,*Lucy,10/13/2018 04:13:00 PM,10/13/2018 04:13:00 PM,07/28/2018,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,0.0
A769512,,04/05/2018 04:13:00 PM,04/05/2018 04:13:00 PM,8108 Mesa Drive in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby,,04/10/2018 06:30:00 PM,04/10/2018 06:30:00 PM,04/05/2017,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby,0.0
A742123,*Robin,01/15/2017 12:09:00 PM,01/15/2017 12:09:00 PM,3401 Santa Fe Dr in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Pit Bull Mix,Black/White,*Robin,01/28/2017 06:31:00 PM,01/28/2017 06:31:00 PM,11/11/2016,Dog,Spayed Female,2 months,Pit Bull Mix,Black/White,0.0
A702829,Pumkin,05/18/2015 12:26:00 PM,05/18/2015 12:26:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Yorkshire Terrier Mix,Cream,Pumkin,05/19/2015 05:43:00 PM,05/19/2015 05:43:00 PM,03/24/2015,Dog,Spayed Female,1 month,Yorkshire Terrier Mix,Cream,0.0
A699826,Leeloo,04/29/2016 01:10:00 PM,04/29/2016 01:10:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Shih Tzu,Brown/White,Leeloo,05/30/2015 04:55:00 PM,05/30/2015 04:55:00 PM,04/02/2015,Dog,Spayed Female,1 month,Shih Tzu,Brown/White,0.0
A707316,*Twyla,07/11/2015 12:10:00 PM,07/11/2015 12:10:00 PM,Congress Ave & 3Rd Street in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Australian Kelpie/Alaskan Husky,Chocolate/Tan,*Twyla,07/16/2015 05:32:00 PM,07/16/2015 05:32:00 PM,01/11/2015,Dog,Spayed Female,6 months,Australian Kelpie/Alaskan Husky,Chocolate/Tan,0.0
A721387,Chief,02/25/2016 06:50:00 PM,02/25/2016 06:50:00 PM,Loyola And Sendero Hills Pkwy in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Great Dane Mix,Black/White,Chief,03/07/2016 06:43:00 PM,03/07/2016 06:43:00 PM,03/07/2009,Dog,Neutered Male,7 years,Great Dane Mix,Black/White,0.0
A684531,,07/25/2014 07:43:00 AM,07/25/2014 07:43:00 AM,Hwy 71 /Fm 973 in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Chow Chow/Australian Cattle Dog,White/Red,,08/02/2014 11:58:00 AM,08/02/2014 11:58:00 AM,12/25/2013,Dog,Intact Male,7 months,Chow Chow/Australian Cattle Dog,White/Red,0.0
A714704,,10/27/2015 07:27:00 AM,10/27/2015 07:27:00 AM,1723 Pine Knoll Dr in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Black Tabby,,10/27/2015 12:19:00 PM,10/27/2015 12:19:00 PM,10/05/2015,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Black Tabby,0.0
A792081,*Raven,04/05/2019 02:48:00 PM,04/05/2019 02:48:00 PM,6410 Distant View Drive in Austin (TX),Stray,Normal,Cat,Intact Male,2 days,Domestic Shorthair Mix,Black,*Raven,06/09/2019 07:09:00 PM,06/09/2019 07:09:00 PM,04/03/2019,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0.0
A675578,,03/29/2014 01:23:00 PM,03/29/2014 01:23:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 weeks,Pit Bull Mix,Brown Brindle/White,,04/03/2014 01:20:00 PM,04/03/2014 01:20:00 PM,02/23/2014,Dog,Intact Male,1 month,Pit Bull Mix,Brown Brindle/White,0.0
A751983,Lucy,06/16/2017 12:15:00 PM,06/16/2017 12:15:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 years,Himalayan,Flame Point,Lucy,06/20/2017 01:49:00 PM,06/20/2017 01:49:00 PM,06/16/2013,Cat,Spayed Female,4 years,Himalayan,Flame Point,0.0
A739842,,12/07/2016 05:42:00 PM,12/07/2016 05:42:00 PM,Woodward St & Willowrun Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Golden Retriever Mix,Gold,,12/08/2016 03:13:00 PM,12/08/2016 03:13:00 PM,12/07/2011,Dog,Neutered Male,5 years,Golden Retriever Mix,Gold,0.0
A760739,,10/23/2017 11:42:00 AM,10/23/2017 11:42:00 AM,Blacno Vista Cove in Del Valle (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Silver Tabby,,10/31/2017 11:21:00 AM,10/31/2017 11:21:00 AM,09/14/2017,Cat,Intact Male,1 month,Domestic Shorthair Mix,Silver Tabby,0.0
A674935,Cesar,03/20/2014 02:09:00 PM,03/20/2014 02:09:00 PM,Conner Downs Dr in Pflugerville (TX),Stray,Normal,Dog,Intact Male,2 years,Pug Mix,Tan/Black,Cesar,03/24/2014 05:24:00 PM,03/24/2014 05:24:00 PM,03/20/2012,Dog,Neutered Male,2 years,Pug Mix,Tan/Black,0.0
A793817,*Flannel,04/30/2019 12:26:00 PM,04/30/2019 12:26:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,*Flannel,07/03/2019 07:19:00 AM,07/03/2019 07:19:00 AM,03/17/2019,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A686037,,08/15/2014 06:48:00 PM,08/15/2014 06:48:00 PM,12901 N Ih 35 #1100 in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,08/16/2014 08:40:00 AM,08/16/2014 08:40:00 AM,08/15/2013,Other,Unknown,1 year,Bat Mix,Brown,1.0
A693127,Dutches,12/02/2014 01:42:00 PM,12/02/2014 01:42:00 PM,14014 Denny Lane in Pflugerville (TX),Stray,Normal,Dog,Intact Female,7 years,Dutch Shepherd Mix,Black/Brown,Dutches,12/24/2014 11:10:00 AM,12/24/2014 11:10:00 AM,12/02/2007,Dog,Spayed Female,7 years,Dutch Shepherd Mix,Black/Brown,0.0
A766505,Gizmo,02/10/2018 03:06:00 PM,02/10/2018 03:06:00 PM,East 51St And Manor in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Shih Tzu Mix,White/Black,Gizmo,02/11/2018 04:12:00 PM,02/11/2018 04:12:00 PM,02/10/2016,Dog,Intact Male,2 years,Shih Tzu Mix,White/Black,0.0
A731437,Tiger,07/22/2016 11:06:00 AM,07/22/2016 11:06:00 AM,Decker Ln & Sh 130 in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,Tiger,07/26/2016 02:27:00 PM,07/26/2016 02:27:00 PM,07/22/2014,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,0.0
A751013,Mochi,06/03/2017 11:59:00 AM,06/03/2017 11:59:00 AM,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Intact Female,3 months,Rabbit Sh Mix,Black,Mochi,08/22/2017 11:30:00 AM,08/22/2017 11:30:00 AM,03/03/2017,Other,Spayed Female,5 months,Rabbit Sh Mix,Black,0.0
A691443,*Julian,11/04/2014 03:49:00 PM,11/04/2014 03:49:00 PM,15008 Fm 812 in Del Valle (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White,*Julian,12/12/2014 04:59:00 PM,12/12/2014 04:59:00 PM,10/05/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0.0
A759050,*Rizzo,09/26/2017 11:26:00 AM,09/26/2017 11:26:00 AM,Parkfield And Rutland in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Wirehaired Pointing Griffon Mix,White/Black,*Rizzo,10/01/2017 05:46:00 PM,10/01/2017 05:46:00 PM,09/26/2015,Dog,Spayed Female,2 years,Wirehaired Pointing Griffon Mix,White/Black,0.0
A734260,Towbler,09/03/2016 02:11:00 PM,09/03/2016 02:11:00 PM,4511 Tx 71 in Del Valle (TX),Stray,Normal,Dog,Intact Male,1 year,Anatol Shepherd Mix,Tan/White,Towbler,09/12/2016 06:59:00 PM,09/12/2016 06:59:00 PM,09/04/2015,Dog,Neutered Male,1 year,Anatol Shepherd Mix,Tan/White,0.0
A721081,*Mittens,02/20/2016 04:50:00 PM,02/20/2016 04:50:00 PM,Rollingwood Dr And Zilker Clubhouse Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Brittany Mix,Liver/White,*Mittens,02/26/2016 11:30:00 AM,02/26/2016 11:30:00 AM,02/20/2008,Dog,Spayed Female,8 years,Brittany Mix,Liver/White,0.0
A690323,*Rusty,10/18/2014 12:34:00 PM,10/18/2014 12:34:00 PM,2511 Tracy Creek in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Pit Bull Mix,Chocolate/White,*Rusty,11/02/2014 06:13:00 PM,11/02/2014 06:13:00 PM,12/18/2013,Dog,Neutered Male,10 months,Pit Bull Mix,Chocolate/White,0.0
A744215,Paloma,03/29/2017 12:01:00 PM,03/29/2017 12:01:00 PM,Providence Ave And Wilks Ave in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Siberian Husky,Cream/Red,Paloma,04/03/2017 06:09:00 PM,04/03/2017 06:09:00 PM,05/21/2014,Dog,Spayed Female,2 years,Siberian Husky,Cream/Red,0.0
A704460,Shrek,06/05/2015 11:45:00 AM,06/05/2015 11:45:00 AM,12550 Metric Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Longhair Mix,Brown Tabby,Shrek,07/18/2015 01:51:00 PM,07/18/2015 01:51:00 PM,05/05/2015,Cat,Neutered Male,2 months,Domestic Longhair Mix,Brown Tabby,0.0
A689551,,10/06/2014 11:01:00 AM,10/06/2014 11:01:00 AM,1413 Muddy Waters Dr in Austin (TX),Stray,Normal,Cat,Unknown,2 months,Domestic Shorthair Mix,Blue Tabby,,10/11/2014 09:00:00 AM,10/11/2014 09:00:00 AM,07/15/2014,Cat,Unknown,2 months,Domestic Shorthair Mix,Blue Tabby,0.0
A728845,,06/09/2016 01:53:00 PM,06/09/2016 01:53:00 PM,12405 Timber Arch Ln in Manor (TX),Stray,Nursing,Cat,Unknown,3 days,Domestic Shorthair Mix,Blue Tabby,,06/11/2016 05:42:00 PM,06/11/2016 05:42:00 PM,06/06/2016,Cat,Unknown,5 days,Domestic Shorthair Mix,Blue Tabby,0.0
A723810,,04/07/2016 11:16:00 AM,04/07/2016 11:16:00 AM,Hwy 71 And Fm 973 in Del Valle (TX),Stray,Normal,Dog,Intact Female,3 years,Rat Terrier Mix,White/Black,,04/11/2016 05:38:00 PM,04/11/2016 05:38:00 PM,04/07/2013,Dog,Spayed Female,3 years,Rat Terrier Mix,White/Black,0.0
A705606,Villy Pixel,06/19/2015 03:30:00 PM,06/19/2015 03:30:00 PM,2200 S Pleasant Valley in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Brown Tabby,Villy Pixel,07/05/2015 12:45:00 PM,07/05/2015 12:45:00 PM,04/12/2015,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Brown Tabby,0.0
A678209,,05/05/2014 04:37:00 PM,05/05/2014 04:37:00 PM,Austin (TX),Stray,Nursing,Cat,Intact Male,0 years,Domestic Shorthair Mix,Black,,06/08/2014 12:20:00 PM,06/08/2014 12:20:00 PM,05/05/2014,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,1.0
A670711,*Isabella,01/12/2014 04:50:00 PM,01/12/2014 04:50:00 PM,906 Cougar Cv in Austin (TX),Stray,Injured,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black,*Isabella,02/13/2014 11:42:00 AM,02/13/2014 11:42:00 AM,01/12/2012,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black,0.0
A169438,,04/04/2018 08:37:00 PM,04/04/2018 08:37:00 PM,Dessau in Austin (TX),Stray,Normal,Bird,Unknown,18 years,Dove Mix,Gray/White,,04/04/2018 08:47:00 PM,04/04/2018 08:47:00 PM,12/23/1999,Bird,Unknown,18 years,Dove Mix,Gray/White,0.0
A697959,*Nigel,03/04/2015 12:19:00 PM,03/04/2015 12:19:00 PM,8200 Colony Loop in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown,*Nigel,05/31/2015 06:53:00 PM,05/31/2015 06:53:00 PM,03/04/2013,Dog,Neutered Male,2 years,Pit Bull Mix,Brown,0.0
A716687,Amedeus,11/23/2015 10:35:00 AM,11/23/2015 10:35:00 AM,Cuernavaca Dr N And River Hills Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 week,Snowshoe Mix,Seal Point/White,Amedeus,01/30/2016 06:11:00 PM,01/30/2016 06:11:00 PM,11/16/2015,Cat,Spayed Female,2 months,Snowshoe Mix,Seal Point/White,0.0
A758211,Morena,09/12/2017 06:33:00 PM,09/12/2017 06:33:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Anatol Shepherd Mix,Brown Brindle/White,Morena,09/17/2017 05:09:00 PM,09/17/2017 05:09:00 PM,03/12/2017,Dog,Spayed Female,6 months,Anatol Shepherd Mix,Brown Brindle/White,0.0
A747138,Sheeba,02/15/2018 01:27:00 PM,02/15/2018 01:27:00 PM,14975 Swiss Dr in Del Valle (TX),Stray,Normal,Dog,Intact Female,2 years,American Pit Bull Terrier Mix,Black/White,Sheeba,05/12/2018 02:19:00 PM,05/12/2018 02:19:00 PM,04/15/2015,Dog,Spayed Female,3 years,American Pit Bull Terrier Mix,Black/White,0.0
A769377,*Sage,04/04/2018 12:31:00 PM,04/04/2018 12:31:00 PM,3828 North Interstate 35 Frontage Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White,*Sage,05/31/2018 12:31:00 PM,05/31/2018 12:31:00 PM,04/04/2017,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White,0.0
A785441,Thrasher,12/05/2018 03:28:00 PM,12/05/2018 03:28:00 PM,9505 Stonebridge Dr in Austin (TX),Public Assist,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Gray Tabby/White,Thrasher,12/12/2018 11:27:00 AM,12/12/2018 11:27:00 AM,12/04/2016,Cat,Intact Female,2 years,Domestic Shorthair Mix,Gray Tabby/White,0.0
A733459,,08/22/2016 11:18:00 AM,08/22/2016 11:18:00 AM,4319 Terry O Ln in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico,,08/22/2016 04:01:00 PM,08/22/2016 04:01:00 PM,07/07/2016,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico,0.0
A760211,Paloma,10/14/2017 02:24:00 PM,10/14/2017 02:24:00 PM,1605 Mckinley in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,German Shepherd Mix,Tan,Paloma,10/14/2017 03:16:00 PM,10/14/2017 03:16:00 PM,10/14/2015,Dog,Intact Female,2 years,German Shepherd Mix,Tan,0.0
A791752,,03/31/2019 01:02:00 PM,03/31/2019 01:02:00 PM,2608 Gonzales St in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon Mix,Black/Brown,,03/31/2019 01:19:00 PM,03/31/2019 01:19:00 PM,03/31/2017,Other,Unknown,2 years,Raccoon Mix,Black/Brown,1.0
A679600,*Frankie,05/23/2014 02:29:00 PM,05/23/2014 02:29:00 PM,5413 Evans Ave in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black,*Frankie,06/11/2014 05:01:00 PM,06/11/2014 05:01:00 PM,04/01/2014,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black,0.0
A748827,,05/07/2017 03:10:00 PM,05/07/2017 03:10:00 PM,1204 E St Johns in Austin (TX),Stray,Nursing,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby/White,,05/08/2017 09:29:00 AM,05/08/2017 09:29:00 AM,05/01/2017,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby/White,0.0
A715856,,11/11/2015 02:40:00 PM,11/11/2015 02:40:00 PM,2020 Dry Seasons Trail in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,,11/15/2015 07:21:00 PM,11/15/2015 07:21:00 PM,11/11/2013,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby/White,0.0
A750849,Tom,06/01/2017 11:46:00 AM,06/01/2017 11:46:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,17 years,Domestic Shorthair Mix,Brown Tabby,Tom,06/13/2017 02:05:00 PM,06/13/2017 02:05:00 PM,06/01/2000,Cat,Neutered Male,17 years,Domestic Shorthair Mix,Brown Tabby,0.0
A730313,*Sam,07/01/2016 05:50:00 PM,07/01/2016 05:50:00 PM,8724 Birmingham in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Poodle Mix,Tan,*Sam,07/05/2016 12:00:00 AM,07/05/2016 12:00:00 AM,07/01/2015,Dog,Intact Male,1 year,Miniature Poodle Mix,Tan,0.0
A670840,Dante,01/15/2014 06:59:00 AM,01/15/2014 06:59:00 AM,4434 Frontier Trl in Austin (TX),Stray,Injured,Dog,Spayed Female,5 years,Labrador Retriever Mix,Tan,Dante,01/16/2014 11:27:00 AM,01/16/2014 11:27:00 AM,01/14/2009,Dog,Spayed Female,5 years,Labrador Retriever Mix,Tan,0.0
A773026,,05/26/2018 01:40:00 PM,05/26/2018 01:40:00 PM,14906 Zurick Drive in Del Valle (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,,05/26/2018 03:06:00 PM,05/26/2018 03:06:00 PM,05/04/2018,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,0.0
A665689,,10/21/2013 04:47:00 PM,10/21/2013 04:47:00 PM,2816 Run Of The Oaks Dr in Austin (TX),Stray,Normal,Cat,Intact Female,5 years,Domestic Longhair,Blue Tabby,,10/27/2013 02:37:00 PM,10/27/2013 02:37:00 PM,10/21/2008,Cat,Intact Female,5 years,Domestic Longhair,Blue Tabby,1.0
A683748,,07/14/2014 06:07:00 PM,07/14/2014 06:07:00 PM,10701 South Ih35 in Austin (TX),Stray,Nursing,Cat,Unknown,1 day,Domestic Shorthair Mix,Brown Tabby,,07/25/2014 11:15:00 AM,07/25/2014 11:15:00 AM,07/13/2014,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby,0.0
A782734,,10/20/2018 12:34:00 PM,10/20/2018 12:34:00 PM,Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby,,12/20/2018 12:47:00 PM,12/20/2018 12:47:00 PM,07/20/2018,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Brown Tabby,0.0
A782457,*Carrie,10/15/2018 02:50:00 PM,10/15/2018 02:50:00 PM,Ortman Drive in Pflugerville (TX),Stray,Normal,Dog,Intact Female,2 years,Staffordshire Mix,Blue/White,*Carrie,01/23/2019 05:17:00 PM,01/23/2019 05:17:00 PM,10/15/2016,Dog,Spayed Female,2 years,Staffordshire Mix,Blue/White,0.0
A756591,Bella,08/22/2017 01:38:00 PM,08/22/2017 01:38:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,7 months,Labrador Retriever Mix,Black/White,Bella,08/30/2017 07:10:00 PM,08/30/2017 07:10:00 PM,12/22/2016,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black/White,0.0
A664619,Lucas,10/06/2013 12:15:00 PM,10/06/2013 12:15:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,Tan,Lucas,10/08/2013 07:01:00 PM,10/08/2013 07:01:00 PM,07/16/2013,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Tan,0.0
A726076,Diamond,06/29/2016 12:36:00 PM,06/29/2016 12:36:00 PM,1128 Garland Ave in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White,Diamond,07/21/2016 03:09:00 PM,07/21/2016 03:09:00 PM,05/05/2015,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White,0.0
A679581,Flaco,05/23/2014 11:51:00 AM,05/23/2014 11:51:00 AM,Georgian Dr And Doc Holiday in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pug/Chihuahua Shorthair,Black/White,Flaco,05/29/2014 03:03:00 PM,05/29/2014 03:03:00 PM,05/23/2012,Dog,Neutered Male,2 years,Pug/Chihuahua Shorthair,Black/White,0.0
A750967,*Lewis,06/02/2017 03:50:00 PM,06/02/2017 03:50:00 PM,3227 E 5Th St in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,*Lewis,07/18/2017 10:58:00 PM,07/18/2017 10:58:00 PM,05/11/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A733680,*Rocky,08/25/2016 04:56:00 PM,08/25/2016 04:56:00 PM,Far West Blvd & Wood Hollow Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,*Rocky,10/06/2016 07:23:00 PM,10/06/2016 07:23:00 PM,07/18/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0.0
A793666,Bobby,04/28/2019 01:25:00 PM,04/28/2019 01:25:00 PM,2615 Crystal Bend Dr in Travis (TX),Stray,Normal,Dog,Intact Male,4 years,Pit Bull Mix,Tan/White,Bobby,05/05/2019 05:29:00 PM,05/05/2019 05:29:00 PM,05/04/2014,Dog,Neutered Male,5 years,Pit Bull Mix,Tan/White,0.0
A714549,Big Boy,10/25/2015 11:09:00 AM,10/25/2015 11:09:00 AM,6300 E Stassney in Austin (TX),Stray,Injured,Dog,Intact Male,4 years,Rottweiler,Black/Tan,Big Boy,10/25/2015 12:50:00 PM,10/25/2015 12:50:00 PM,10/25/2011,Dog,Intact Male,4 years,Rottweiler,Black/Tan,0.0
A774599,Boochy,06/17/2018 11:47:00 PM,06/17/2018 11:47:00 PM,Fm 969 in Travis (TX),Public Assist,Normal,Dog,Intact Male,5 years,Dachshund Mix,Black/Brown,Boochy,06/19/2018 03:39:00 PM,06/19/2018 03:39:00 PM,06/18/2013,Dog,Intact Male,5 years,Dachshund Mix,Black/Brown,0.0
A709163,,08/05/2015 03:01:00 PM,08/05/2015 03:01:00 PM,4711 Castleman Dr in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair,Black,,08/11/2015 12:00:00 AM,08/11/2015 12:00:00 AM,07/17/2015,Cat,Intact Male,3 weeks,Domestic Shorthair,Black,0.0
A670664,*Riley,03/23/2014 07:16:00 PM,03/23/2014 07:16:00 PM,Cedar Park (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White,*Riley,06/29/2014 03:37:00 PM,06/29/2014 03:37:00 PM,01/11/2012,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White,0.0
